Abbotsford			abbotsford_6911_high_resolution.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/6911/Abbottsford.6911.main_glosses.mb.mp4	2.2.2	in front of body	new zealand place names	abbotsford	abbotsford				
access		āhei atu	access_398_default.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/398/access.398.main_glosses.vs.r480x360.mp4	1.1.1	fingers/thumb	actions and activities|deaf-related|miscellaneous	access	access			ahei atu	ahei atu
acid		waikawa	acid_5578_high_resolution.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/5578/acid.5578.main_glosses.mb.r480x360.mp4	2.3.1	in front of body	materials|science	acid	acid			waikawa	waikawa
Act		Ture	act_4824_high_resolution.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/4824/act.4824.main_glosses.rp.r480x360.mp4	5.1.1	fingers/thumb	government and politics|law and crime	act	act			ture	ture
Addington			addington_6583_high_resolution.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/6583/Addington.6583.main_glosses.mb.mp4	3.3.1	in front of body	new zealand place names	addington	addington				
Adelaide		Atireiti	adelaide_2819_high_resolution.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/2819/adelaide.2819.main_glosses.rp.r480x360.mp4	6.2.3	lower head	countries and cities	adelaide	adelaide			atireiti	atireiti
advantage		huanga, painga	advantage_5339_default.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/5339/advantage.5339.main_glosses.sp.r480x360.mp4	5.1.1	fingers/thumb	miscellaneous	advantage	advantage			huanga, painga	huanga|painga
afford		taea te utu	afford_4409_high_resolution.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/4409/afford.4409.main_glosses.mb.r480x360.mp4	4.3.2	in front of body	money	afford	afford			taea te utu	taea te utu
afternoon		ahiahi	afternoon_1386_default.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/1386/afternoon.1386.main_glosses.jo.r480x360.mp4	2.2.1	lower head	time	afternoon	afternoon			ahiahi	ahiahi
afternoon		ahiahi	afternoon_3902_high_resolution.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/3902/afternoon.3902.main_glosses.vs.r480x360.mp4	3.4.1	in front of body	time	afternoon	afternoon			ahiahi	ahiahi
age, how old?		pakeke, e hia ō tau?	age_5506_default.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/5506/how_old.5506.main_glosses.mb.r480x360.mp4	2.1.1	nose	quantity and measure|questions	age, how old?	age|how|old			pakeke, e hia o tau?	pakeke|e hia o tau?
age, how old?		pakeke, e hia	age_4655_default.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/4655/how_old.4655.main_glosses.mb.r480x360.mp4	6.1.3	nose	questions	age, how old?	age|how|old			pakeke, e hia	pakeke|e hia
ago		nōnakuarā	ago_4916_high_resolution.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/4916/ago.4916.main_glosses.sp.r480x360.mp4	3.1.1	head	time	ago	ago			nonakuara	nonakuara
agreement verb		kupumahi whaihono	agreement_verb_5265_high_resolution.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/5265/agreement_verb.5265.main_glosses.mb.r480x360.mp4	3.2.1	in front of body	language and linguistics	agreement verb	agreement|verb			kupumahi whaihono	kupumahi whaihono
air force		tauārangi	air_force_4732_high_resolution.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/4732/air_force.4732.main_glosses.mb.r480x360.mp4	6.6.1	in front of body	government and politics|work	air force	air|force			tauarangi	tauarangi
air force		tauārangi	air_force_4898_high_resolution.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/4898/air_force.4898.main_glosses.mb.r480x360.mp4	1.2.2	top of head	government and politics|work	air force	air|force			tauarangi	tauarangi
Akaroa		Akaroa	akaroa_6584_default.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/6584/Akaroa.6584.main_glosses.mb.mp4	5.1.1	fingers/thumb	new zealand place names	akaroa	akaroa			akaroa	akaroa
Albany		Ōkahukura	albany_6585_high_resolution.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/6585/Albany.6585.main_glosses.mb.mp4	2.1.2	top of head	new zealand place names	albany	albany			okahukura	okahukura
Alexandra		Areketanara	alexandra_6586_high_resolution.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/6586/Alexandra.6586.main_glosses.mb.mp4	6.4.1	palm	new zealand place names	alexandra	alexandra			areketanara	areketanara
Alicetown			alicetown_6763_default.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/6763/Alicetown.6763.main_glosses.mb.mp4	5.1.1	fingers/thumb	new zealand place names	alicetown	alicetown				
All Blacks, silver fern		Kapa-o-Pango, kaponga, ponga	all_blacks_5846_high_resolution.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/5846/All_Blacks.5846.main_glosses.mb.r480x360.mp4	6.3.1	chest	sports, recreation and hobbies	all blacks, silver fern	all|blacks|silver|fern			kapa-o-pango, kaponga, ponga	kapa-o-pango|kaponga|ponga
All Blacks		Kapa-o-Pango	all_blacks_851_high_resolution.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/851/all_blacks.851.main_glosses.rp.r480x360.mp4	1.1.1	in front of body	sports, recreation and hobbies	all blacks	all|blacks			kapa-o-pango	kapa-o-pango
All Blacks		Kapa-o-Pango	all_blacks_5801_default.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/5801/All_Blacks.5801.main_glosses.mb.r480x360.mp4	1.1.1	chest	sports, recreation and hobbies	all blacks	all|blacks			kapa-o-pango	kapa-o-pango
